code,area name,index,category,value,average salary
E12000001,North East,64,Child poverty [Pl4],92.7,25095.2
E12000001,North East,65,Job-related training [Pl4],97.1,25095.2
E12000001,North East,66,Unemployment [Pl4],94,25095.2
E12000001,North East,67,Workplace safety [Pl4],102.8,25095.2
E12000001,North East,68,Living conditions [Pl],116.3,25095.2
E12000001,North East,69,Air pollution [Pl5],123.5,25095.2
E12000001,North East,70,Household overcrowding [Pl5],129.7,25095.2
E12000001,North East,71,Noise complaints [Pl5],95.7,25095.2
E12000001,North East,72,Road safety [Pl5],106.8,25095.2
E12000001,North East,73,Rough sleeping [Pl5],106.5,25095.2
E06000001,Hartlepool,1,Healthy People Domain,83.7,25760.8
E06000001,Hartlepool,2,Difficulties in daily life [Pe],82.8,25760.8
E06000001,Hartlepool,3,Disability [Pe1],71.1,25760.8
E06000001,Hartlepool,4,Frailty [Pe1],100.9,25760.8
E06000001,Hartlepool,5,Mental health [Pe],87.6,25760.8
E06000001,Hartlepool,6,"Children's social, emotional and mental health [Pe2]",95.1,25760.8
E06000001,Hartlepool,7,Mental health conditions [Pe2],90.7,25760.8
E06000001,Hartlepool,8,Self-harm [Pe2],96.5,25760.8
E06000001,Hartlepool,9,Suicides [Pe2],82.9,25760.8
E06000001,Hartlepool,10,Mortality [Pe],87.7,25760.8
E06000001,Hartlepool,11,Avoidable mortality [Pe3],83.1,25760.8
E06000001,Hartlepool,12,Infant mortality [Pe3],111.4,25760.8
E06000001,Hartlepool,13,Life expectancy [Pe3],83,25760.8
E06000001,Hartlepool,14,Mortality from all causes [Pe3],88.5,25760.8
E06000001,Hartlepool,15,Personal well-being [Pe],92.3,25760.8
E06000001,Hartlepool,16,Activities in life are worthwhile [Pe4],95.1,25760.8
E06000001,Hartlepool,17,Feelings of anxiety [Pe4],85.1,25760.8
E06000001,Hartlepool,18,Happiness [Pe4],103.3,25760.8
E06000001,Hartlepool,19,Life satisfaction [Pe4],88.6,25760.8
E06000001,Hartlepool,20,Physical health conditions [Pe],94.3,25760.8
E06000001,Hartlepool,21,Cancer [Pe5],102.6,25760.8
E06000001,Hartlepool,22,Cardiovascular conditions [Pe5],95.6,25760.8
E06000001,Hartlepool,23,Dementia [Pe5],101.2,25760.8
E06000001,Hartlepool,24,Diabetes [Pe5],102.7,25760.8
E06000001,Hartlepool,25,Kidney and liver disease [Pe5],89,25760.8
E06000001,Hartlepool,26,Musculoskeletal conditions [Pe5],90.6,25760.8
E06000001,Hartlepool,27,Respiratory conditions [Pe5],91.2,25760.8
E06000001,Hartlepool,28,Healthy Lives Domain,81.8,25760.8
E06000001,Hartlepool,29,Behavioural risk factors [L],72.1,25760.8
E06000001,Hartlepool,30,Alcohol misuse [L1],87.6,25760.8
E06000001,Hartlepool,31,Drug misuse [L1],83.4,25760.8
E06000001,Hartlepool,32,Healthy eating [L1],85.5,25760.8
E06000001,Hartlepool,33,Physical activity [L1],68.4,25760.8
E06000001,Hartlepool,34,Sedentary behaviour [L1],64.3,25760.8
E06000001,Hartlepool,35,Sexually transmitted infections [L1],107.2,25760.8
E06000001,Hartlepool,36,Smoking [L1],99,25760.8
E06000001,Hartlepool,37,Children and young people [L],93.8,25760.8
E06000001,Hartlepool,38,Early years development [L2],112.4,25760.8
E06000001,Hartlepool,39,Pupil absences [L2],83.2,25760.8
E06000001,Hartlepool,40,Pupil attainment [L2],100.4,25760.8
E06000001,Hartlepool,41,Teenage pregnancy [L2],99.3,25760.8
E06000001,Hartlepool,42,"Young people in education, employment and apprenticeships [L2]",99.6,25760.8
E06000001,Hartlepool,43,Physiological risk factors [L],75.5,25760.8
E06000001,Hartlepool,44,High blood pressure [L3],90.6,25760.8
E06000001,Hartlepool,45,Low birth weight [L3],96.4,25760.8
E06000001,Hartlepool,46,Overweight and obesity in adults [L3],76,25760.8
E06000001,Hartlepool,47,Overweight and obesity in children [L3],77.1,25760.8
E06000001,Hartlepool,48,Protective measures [L],100.1,25760.8
E06000001,Hartlepool,49,Cancer screening attendance [L4],95.8,25760.8
E06000001,Hartlepool,50,Child vaccination coverage [L4],104.4,25760.8
E06000001,Hartlepool,51,Healthy Places Domain,102.3,25760.8
E06000001,Hartlepool,52,Access to green space [Pl],111.3,25760.8
E06000001,Hartlepool,53,Private outdoor space [Pl1],111.3,25760.8
E06000001,Hartlepool,54,Access to services [Pl],103,25760.8
E06000001,Hartlepool,55,Distance to GP services [Pl2],101,25760.8
E06000001,Hartlepool,56,Distance to pharmacies [Pl2],97,25760.8
E06000001,Hartlepool,57,Distance to sports or leisure facilities [Pl2],111.6,25760.8
E06000001,Hartlepool,58,Internet access [Pl2],103.7,25760.8
E06000001,Hartlepool,59,Patients offered acceptable GP practice appointments [Pl2],98.3,25760.8
E06000001,Hartlepool,60,Crime [Pl],85.6,25760.8
E06000001,Hartlepool,61,Low-level crime [Pl3],93.2,25760.8
E06000001,Hartlepool,62,Personal crime [Pl3],80.1,25760.8
E06000001,Hartlepool,63,Economic and working conditions [Pl],90.2,25760.8
E06000001,Hartlepool,64,Child poverty [Pl4],90.6,25760.8
E06000001,Hartlepool,65,Job-related training [Pl4],105.8,25760.8
E06000001,Hartlepool,66,Unemployment [Pl4],91,25760.8
E06000001,Hartlepool,67,Workplace safety [Pl4],93.5,25760.8
E06000001,Hartlepool,68,Living conditions [Pl],115.4,25760.8
E06000001,Hartlepool,69,Air pollution [Pl5],126.3,25760.8
E06000001,Hartlepool,70,Household overcrowding [Pl5],129.5,25760.8
E06000001,Hartlepool,71,Noise complaints [Pl5],97.6,25760.8
E06000001,Hartlepool,72,Road safety [Pl5],104.2,25760.8
E06000001,Hartlepool,73,Rough sleeping [Pl5],99.7,25760.8
E06000002,Middlesbrough,1,Healthy People Domain,79.9,22500.4
E06000002,Middlesbrough,2,Difficulties in daily life [Pe],79.8,22500.4
E06000002,Middlesbrough,3,Disability [Pe1],79.6,22500.4
E06000002,Middlesbrough,4,Frailty [Pe1],87.4,22500.4
E06000002,Middlesbrough,5,Mental health [Pe],83.5,22500.4
E06000002,Middlesbrough,6,"Children's social, emotional and mental health [Pe2]",88.9,22500.4
E06000002,Middlesbrough,7,Mental health conditions [Pe2],94.7,22500.4
E06000002,Middlesbrough,8,Self-harm [Pe2],88.3,22500.4
E06000002,Middlesbrough,9,Suicides [Pe2],82.3,22500.4
E06000002,Middlesbrough,10,Mortality [Pe],74.8,22500.4
E06000002,Middlesbrough,11,Avoidable mortality [Pe3],74.4,22500.4
E06000002,Middlesbrough,12,Infant mortality [Pe3],99.3,22500.4
E06000002,Middlesbrough,13,Life expectancy [Pe3],74.8,22500.4
E06000002,Middlesbrough,14,Mortality from all causes [Pe3],69.5,22500.4
E06000002,Middlesbrough,15,Personal well-being [Pe],92,22500.4
E06000002,Middlesbrough,16,Activities in life are worthwhile [Pe4],89.2,22500.4
E06000002,Middlesbrough,17,Feelings of anxiety [Pe4],94.8,22500.4
E06000002,Middlesbrough,18,Happiness [Pe4],96.6,22500.4
E06000002,Middlesbrough,19,Life satisfaction [Pe4],92.7,22500.4
E06000002,Middlesbrough,20,Physical health conditions [Pe],102.1,22500.4
E06000002,Middlesbrough,21,Cancer [Pe5],106.5,22500.4
E06000002,Middlesbrough,22,Cardiovascular conditions [Pe5],100.5,22500.4
E06000002,Middlesbrough,23,Dementia [Pe5],109.5,22500.4
E06000002,Middlesbrough,24,Diabetes [Pe5],92.9,22500.4
E06000002,Middlesbrough,25,Kidney and liver disease [Pe5],100.5,22500.4
E06000002,Middlesbrough,26,Musculoskeletal conditions [Pe5],102.2,22500.4
E06000002,Middlesbrough,27,Respiratory conditions [Pe5],102.3,22500.4
E06000002,Middlesbrough,28,Healthy Lives Domain,76.2,22500.4
E06000002,Middlesbrough,29,Behavioural risk factors [L],77.7,22500.4
E06000002,Middlesbrough,30,Alcohol misuse [L1],88.3,22500.4
E06000002,Middlesbrough,31,Drug misuse [L1],79.1,22500.4
E06000002,Middlesbrough,32,Healthy eating [L1],82.2,22500.4
E06000002,Middlesbrough,33,Physical activity [L1],80.4,22500.4
E06000002,Middlesbrough,34,Sedentary behaviour [L1],76.9,22500.4
E06000002,Middlesbrough,35,Sexually transmitted infections [L1],98.4,22500.4
E06000002,Middlesbrough,36,Smoking [L1],97.3,22500.4
E06000002,Middlesbrough,37,Children and young people [L],80.2,22500.4
E06000002,Middlesbrough,38,Early years development [L2],94.5,22500.4
E06000002,Middlesbrough,39,Pupil absences [L2],70.5,22500.4
E06000002,Middlesbrough,40,Pupil attainment [L2],96.5,22500.4
E06000002,Middlesbrough,41,Teenage pregnancy [L2],87.1,22500.4
E06000002,Middlesbrough,42,"Young people in education, employment and apprenticeships [L2]",71.5,22500.4
E06000002,Middlesbrough,43,Physiological risk factors [L],75,22500.4
E06000002,Middlesbrough,44,High blood pressure [L3],105,22500.4
E06000002,Middlesbrough,45,Low birth weight [L3],93.5,22500.4
E06000002,Middlesbrough,46,Overweight and obesity in adults [L3],83,22500.4
E06000002,Middlesbrough,47,Overweight and obesity in children [L3],74.5,22500.4
E06000002,Middlesbrough,48,Protective measures [L],90.8,22500.4
E06000002,Middlesbrough,49,Cancer screening attendance [L4],88.1,22500.4
E06000002,Middlesbrough,50,Child vaccination coverage [L4],95.6,22500.4
E06000002,Middlesbrough,51,Healthy Places Domain,93.9,22500.4
E06000002,Middlesbrough,52,Access to green space [Pl],112.5,22500.4
E06000002,Middlesbrough,53,Private outdoor space [Pl1],112.5,22500.4
E06000002,Middlesbrough,54,Access to services [Pl],102.6,22500.4
E06000002,Middlesbrough,55,Distance to GP services [Pl2],101.8,22500.4
E06000002,Middlesbrough,56,Distance to pharmacies [Pl2],101.7,22500.4
E06000002,Middlesbrough,57,Distance to sports or leisure facilities [Pl2],101.8,22500.4
E06000002,Middlesbrough,58,Internet access [Pl2],106,22500.4
E06000002,Middlesbrough,59,Patients offered acceptable GP practice appointments [Pl2],109.2,22500.4
E06000002,Middlesbrough,60,Crime [Pl],81.8,22500.4
E06000002,Middlesbrough,61,Low-level crime [Pl3],93.7,22500.4
E06000002,Middlesbrough,62,Personal crime [Pl3],72.5,22500.4
E06000002,Middlesbrough,63,Economic and working conditions [Pl],84.1,22500.4
E06000002,Middlesbrough,64,Child poverty [Pl4],79.3,22500.4
E06000002,Middlesbrough,65,Job-related training [Pl4],102,22500.4
E06000002,Middlesbrough,66,Unemployment [Pl4],89.8,22500.4
E06000002,Middlesbrough,67,Workplace safety [Pl4],115.6,22500.4
E06000002,Middlesbrough,68,Living conditions [Pl],104.3,22500.4
E06000002,Middlesbrough,69,Air pollution [Pl5],119.2,22500.4
E06000002,Middlesbrough,70,Household overcrowding [Pl5],107.7,22500.4
E06000002,Middlesbrough,71,Noise complaints [Pl5],92,22500.4
E06000002,Middlesbrough,72,Road safety [Pl5],97.7,22500.4
E06000002,Middlesbrough,73,Rough sleeping [Pl5],102.9,22500.4
E06000003,Redcar and Cleveland,1,Healthy People Domain,85.6,#N/A
E06000003,Redcar and Cleveland,2,Difficulties in daily life [Pe],84.4,#N/A
E06000003,Redcar and Cleveland,3,Disability [Pe1],68.8,#N/A
E06000003,Redcar and Cleveland,4,Frailty [Pe1],105.6,#N/A
E06000003,Redcar and Cleveland,5,Mental health [Pe],78.4,#N/A
E06000003,Redcar and Cleveland,6,"Children's social, emotional and mental health [Pe2]",86.2,#N/A
E06000003,Redcar and Cleveland,7,Mental health conditions [Pe2],93.2,#N/A
E06000003,Redcar and Cleveland,8,Self-harm [Pe2],90.2,#N/A
E06000003,Redcar and Cleveland,9,Suicides [Pe2],69.5,#N/A
E06000003,Redcar and Cleveland,10,Mortality [Pe],91.1,#N/A
E06000003,Redcar and Cleveland,11,Avoidable mortality [Pe3],87.7,#N/A
E06000003,Redcar and Cleveland,12,Infant mortality [Pe3],105,#N/A
E06000003,Redcar and Cleveland,13,Life expectancy [Pe3],87.7,#N/A
E06000003,Redcar and Cleveland,14,Mortality from all causes [Pe3],93.5,#N/A
E06000003,Redcar and Cleveland,15,Personal well-being [Pe],96.6,#N/A
E06000003,Redcar and Cleveland,16,Activities in life are worthwhile [Pe4],94.5,#N/A
E06000003,Redcar and Cleveland,17,Feelings of anxiety [Pe4],104.9,#N/A
E06000003,Redcar and Cleveland,18,Happiness [Pe4],99.2,#N/A
E06000003,Redcar and Cleveland,19,Life satisfaction [Pe4],92.7,#N/A
E06000003,Redcar and Cleveland,20,Physical health conditions [Pe],100.6,#N/A
E06000003,Redcar and Cleveland,21,Cancer [Pe5],97.6,#N/A
E06000003,Redcar and Cleveland,22,Cardiovascular conditions [Pe5],98.8,#N/A
E06000003,Redcar and Cleveland,23,Dementia [Pe5],112.7,#N/A
E06000003,Redcar and Cleveland,24,Diabetes [Pe5],100.4,#N/A
E06000003,Redcar and Cleveland,25,Kidney and liver disease [Pe5],111,#N/A
E06000003,Redcar and Cleveland,26,Musculoskeletal conditions [Pe5],97.4,#N/A
E06000003,Redcar and Cleveland,27,Respiratory conditions [Pe5],98,#N/A
E06000003,Redcar and Cleveland,28,Healthy Lives Domain,88.3,#N/A
E06000003,Redcar and Cleveland,29,Behavioural risk factors [L],87.6,#N/A
E06000003,Redcar and Cleveland,30,Alcohol misuse [L1],94.6,#N/A
E06000003,Redcar and Cleveland,31,Drug misuse [L1],99.4,#N/A
E06000003,Redcar and Cleveland,32,Healthy eating [L1],75.5,#N/A
E06000003,Redcar and Cleveland,33,Physical activity [L1],91,#N/A
E06000003,Redcar and Cleveland,34,Sedentary behaviour [L1],85.9,#N/A
E06000003,Redcar and Cleveland,35,Sexually transmitted infections [L1],101.4,#N/A
E06000003,Redcar and Cleveland,36,Smoking [L1],110.2,#N/A
E06000003,Redcar and Cleveland,37,Children and young people [L],96,#N/A
E06000003,Redcar and Cleveland,38,Early years development [L2],108.8,#N/A
E06000003,Redcar and Cleveland,39,Pupil absences [L2],89.6,#N/A
E06000003,Redcar and Cleveland,40,Pupil attainment [L2],104.2,#N/A
E06000003,Redcar and Cleveland,41,Teenage pregnancy [L2],90.4,#N/A
E06000003,Redcar and Cleveland,42,"Young people in education, employment and apprenticeships [L2]",85.8,#N/A
E06000003,Redcar and Cleveland,43,Physiological risk factors [L],81,#N/A
E06000003,Redcar and Cleveland,44,High blood pressure [L3],102.4,#N/A
E06000003,Redcar and Cleveland,45,Low birth weight [L3],102.7,#N/A
E06000003,Redcar and Cleveland,46,Overweight and obesity in adults [L3],87.2,#N/A
E06000003,Redcar and Cleveland,47,Overweight and obesity in children [L3],77.5,#N/A
E06000003,Redcar and Cleveland,48,Protective measures [L],97.6,#N/A
E06000003,Redcar and Cleveland,49,Cancer screening attendance [L4],88,#N/A
E06000003,Redcar and Cleveland,50,Child vaccination coverage [L4],107.7,#N/A
E06000003,Redcar and Cleveland,51,Healthy Places Domain,107.4,#N/A
E06000003,Redcar and Cleveland,52,Access to green space [Pl],112.8,#N/A
E06000003,Redcar and Cleveland,53,Private outdoor space [Pl1],112.8,#N/A
E06000003,Redcar and Cleveland,54,Access to services [Pl],99.5,#N/A
E06000003,Redcar and Cleveland,55,Distance to GP services [Pl2],96.3,#N/A
E06000003,Redcar and Cleveland,56,Distance to pharmacies [Pl2],100.6,#N/A
E06000003,Redcar and Cleveland,57,Distance to sports or leisure facilities [Pl2],99.1,#N/A
E06000003,Redcar and Cleveland,58,Internet access [Pl2],101.2,#N/A
E06000003,Redcar and Cleveland,59,Patients offered acceptable GP practice appointments [Pl2],97.3,#N/A
E06000003,Redcar and Cleveland,60,Crime [Pl],90.4,#N/A
E06000003,Redcar and Cleveland,61,Low-level crime [Pl3],96.7,#N/A
E06000003,Redcar and Cleveland,62,Personal crime [Pl3],85.5,#N/A
E06000003,Redcar and Cleveland,63,Economic and working conditions [Pl],92.3,#N/A
E06000003,Redcar and Cleveland,64,Child poverty [Pl4],93.5,#N/A
E06000003,Redcar and Cleveland,65,Job-related training [Pl4],93.9,#N/A
E06000003,Redcar and Cleveland,66,Unemployment [Pl4],93.9,#N/A
E06000003,Redcar and Cleveland,67,Workplace safety [Pl4],91.7,#N/A
E06000003,Redcar and Cleveland,68,Living conditions [Pl],122.8,#N/A
E06000003,Redcar and Cleveland,69,Air pollution [Pl5],127.5,#N/A
E06000003,Redcar and Cleveland,70,Household overcrowding [Pl5],132.1,#N/A
E06000003,Redcar and Cleveland,71,Noise complaints [Pl5],101,#N/A
E06000003,Redcar and Cleveland,72,Road safety [Pl5],109.7,#N/A
E06000003,Redcar and Cleveland,73,Rough sleeping [Pl5],123.2,#N/A
E06000004,Stockton-on-Tees,1,Healthy People Domain,84.8,#N/A
E06000004,Stockton-on-Tees,2,Difficulties in daily life [Pe],89.6,#N/A
E06000004,Stockton-on-Tees,3,Disability [Pe1],80.9,#N/A
E06000004,Stockton-on-Tees,4,Frailty [Pe1],102.1,#N/A
E06000004,Stockton-on-Tees,5,Mental health [Pe],92.9,#N/A
E06000004,Stockton-on-Tees,6,"Children's social, emotional and mental health [Pe2]",96.8,#N/A
E06000004,Stockton-on-Tees,7,Mental health conditions [Pe2],87.2,#N/A
E06000004,Stockton-on-Tees,8,Self-harm [Pe2],96.4,#N/A
E06000004,Stockton-on-Tees,9,Suicides [Pe2],99.3,#N/A
E06000004,Stockton-on-Tees,10,Mortality [Pe],92.7,#N/A
E06000004,Stockton-on-Tees,11,Avoidable mortality [Pe3],91.7,#N/A
E06000004,Stockton-on-Tees,12,Infant mortality [Pe3],95.8,#N/A
E06000004,Stockton-on-Tees,13,Life expectancy [Pe3],89.2,#N/A
E06000004,Stockton-on-Tees,14,Mortality from all causes [Pe3],97.9,#N/A
E06000004,Stockton-on-Tees,15,Personal well-being [Pe],80.8,#N/A
E06000004,Stockton-on-Tees,16,Activities in life are worthwhile [Pe4],77.3,#N/A
E06000004,Stockton-on-Tees,17,Feelings of anxiety [Pe4],89.3,#N/A
E06000004,Stockton-on-Tees,18,Happiness [Pe4],87.3,#N/A
E06000004,Stockton-on-Tees,19,Life satisfaction [Pe4],82.5,#N/A
E06000004,Stockton-on-Tees,20,Physical health conditions [Pe],92.5,#N/A
E06000004,Stockton-on-Tees,21,Cancer [Pe5],92.1,#N/A
E06000004,Stockton-on-Tees,22,Cardiovascular conditions [Pe5],92,#N/A
E06000004,Stockton-on-Tees,23,Dementia [Pe5],96.6,#N/A
E06000004,Stockton-on-Tees,24,Diabetes [Pe5],101.8,#N/A
E06000004,Stockton-on-Tees,25,Kidney and liver disease [Pe5],91.8,#N/A
E06000004,Stockton-on-Tees,26,Musculoskeletal conditions [Pe5],93.8,#N/A
E06000004,Stockton-on-Tees,27,Respiratory conditions [Pe5],93.6,#N/A
E06000004,Stockton-on-Tees,28,Healthy Lives Domain,98.2,#N/A
E06000004,Stockton-on-Tees,29,Behavioural risk factors [L],97.9,#N/A
E06000004,Stockton-on-Tees,30,Alcohol misuse [L1],91.2,#N/A
E06000004,Stockton-on-Tees,31,Drug misuse [L1],89,#N/A
E06000004,Stockton-on-Tees,32,Healthy eating [L1],96,#N/A
E06000004,Stockton-on-Tees,33,Physical activity [L1],99.6,#N/A
E06000004,Stockton-on-Tees,34,Sedentary behaviour [L1],98.1,#N/A
E06000004,Stockton-on-Tees,35,Sexually transmitted infections [L1],95.2,#N/A
E06000004,Stockton-on-Tees,36,Smoking [L1],112.4,#N/A
E06000004,Stockton-on-Tees,37,Children and young people [L],102.8,#N/A
E06000004,Stockton-on-Tees,38,Early years development [L2],115,#N/A
E06000004,Stockton-on-Tees,39,Pupil absences [L2],100,#N/A
E06000004,Stockton-on-Tees,40,Pupil attainment [L2],112.8,#N/A
E06000004,Stockton-on-Tees,41,Teenage pregnancy [L2],97.2,#N/A
E06000004,Stockton-on-Tees,42,"Young people in education, employment and apprenticeships [L2]",86.8,#N/A
E06000004,Stockton-on-Tees,43,Physiological risk factors [L],89.2,#N/A
E06000004,Stockton-on-Tees,44,High blood pressure [L3],96.7,#N/A
E06000004,Stockton-on-Tees,45,Low birth weight [L3],95.3,#N/A
E06000004,Stockton-on-Tees,46,Overweight and obesity in adults [L3],73.7,#N/A
E06000004,Stockton-on-Tees,47,Overweight and obesity in children [L3],97.6,#N/A
E06000004,Stockton-on-Tees,48,Protective measures [L],104.5,#N/A
E06000004,Stockton-on-Tees,49,Cancer screening attendance [L4],96.2,#N/A
E06000004,Stockton-on-Tees,50,Child vaccination coverage [L4],111.8,#N/A
E06000004,Stockton-on-Tees,51,Healthy Places Domain,103.9,#N/A
E06000004,Stockton-on-Tees,52,Access to green space [Pl],112,#N/A
E06000004,Stockton-on-Tees,53,Private outdoor space [Pl1],112,#N/A
E06000004,Stockton-on-Tees,54,Access to services [Pl],95.4,#N/A
E06000004,Stockton-on-Tees,55,Distance to GP services [Pl2],93.3,#N/A
E06000004,Stockton-on-Tees,56,Distance to pharmacies [Pl2],95.6,#N/A
E06000004,Stockton-on-Tees,57,Distance to sports or leisure facilities [Pl2],97.2,#N/A
E06000004,Stockton-on-Tees,58,Internet access [Pl2],101.8,#N/A
E06000004,Stockton-on-Tees,59,Patients offered acceptable GP practice appointments [Pl2],96.5,#N/A
E06000004,Stockton-on-Tees,60,Crime [Pl],94.1,#N/A
E06000004,Stockton-on-Tees,61,Low-level crime [Pl3],103.4,#N/A
E06000004,Stockton-on-Tees,62,Personal crime [Pl3],85.7,#N/A
E06000004,Stockton-on-Tees,63,Economic and working conditions [Pl],95.5,#N/A
E06000004,Stockton-on-Tees,64,Child poverty [Pl4],95.8,#N/A
E06000004,Stockton-on-Tees,65,Job-related training [Pl4],101.5,#N/A
E06000004,Stockton-on-Tees,66,Unemployment [Pl4],95.1,#N/A
E06000004,Stockton-on-Tees,67,Workplace safety [Pl4],101,#N/A
E06000004,Stockton-on-Tees,68,Living conditions [Pl],112.3,#N/A
E06000004,Stockton-on-Tees,69,Air pollution [Pl5],122.6,#N/A
E06000004,Stockton-on-Tees,70,Household overcrowding [Pl5],126.2,#N/A
E06000004,Stockton-on-Tees,71,Noise complaints [Pl5],85.4,#N/A
E06000004,Stockton-on-Tees,72,Road safety [Pl5],105.8,#N/A
E06000004,Stockton-on-Tees,73,Rough sleeping [Pl5],106.6,#N/A
E06000005,Darlington,1,Healthy People Domain,85.2,26156
E06000005,Darlington,2,Difficulties in daily life [Pe],86.6,26156
E06000005,Darlington,3,Disability [Pe1],85.2,26156
E06000005,Darlington,4,Frailty [Pe1],92.8,26156
E06000005,Darlington,5,Mental health [Pe],80.3,26156
E06000005,Darlington,6,"Children's social, emotional and mental health [Pe2]",89.3,26156
E06000005,Darlington,7,Mental health conditions [Pe2],91.4,26156
E06000005,Darlington,8,Self-harm [Pe2],87.5,26156
E06000005,Darlington,9,Suicides [Pe2],77.4,26156
E06000005,Darlington,10,Mortality [Pe],90.1,26156
E06000005,Darlington,11,Avoidable mortality [Pe3],92,26156
E06000005,Darlington,12,Infant mortality [Pe3],85.1,26156
E06000005,Darlington,13,Life expectancy [Pe3],89.1,26156
E06000005,Darlington,14,Mortality from all causes [Pe3],94.9,26156
E06000005,Darlington,15,Personal well-being [Pe],89.5,26156
E06000005,Darlington,16,Activities in life are worthwhile [Pe4],98.1,26156
E06000005,Darlington,17,Feelings of anxiety [Pe4],85.5,26156
E06000005,Darlington,18,Happiness [Pe4],93.5,26156
E06000005,Darlington,19,Life satisfaction [Pe4],86.1,26156
E06000005,Darlington,20,Physical health conditions [Pe],103.5,26156
E06000005,Darlington,21,Cancer [Pe5],108.1,26156
E06000005,Darlington,22,Cardiovascular conditions [Pe5],104.8,26156
E06000005,Darlington,23,Dementia [Pe5],107.5,26156
E06000005,Darlington,24,Diabetes [Pe5],98.8,26156
E06000005,Darlington,25,Kidney and liver disease [Pe5],97,26156
E06000005,Darlington,26,Musculoskeletal conditions [Pe5],104.5,26156
E06000005,Darlington,27,Respiratory conditions [Pe5],98.2,26156
E06000005,Darlington,28,Healthy Lives Domain,95.2,26156
